"Nat","Inv","M_UI","SE_UI","SS_UI","M_I","SE_I","SS_I","Rich_UI","Rich_UI.1","N_Height","I_Height","N_Nitr","I_Nitr","H.x","H.y","H_Diff","Diff"
"Fraxinus angustifolia","Robinia pseudoacacia",1.253733333,0.114846787,4,1.4928,0.109514821,4,-9999,-9999,25,27,2071,278,NA,17.798127429,NA,0.17452778462414
"Fraxinus angustifolia","Robinia pseudoacacia",18.8896,1.390717276,4,31.02166667,1.484925047,4,-9999,-9999,25,27,2071,278,NA,17.798127429,NA,0.496074379125405
"Fraxinus angustifolia","Robinia pseudoacacia",39.89796667,1.798849163,4,42.80706667,3.646827789,4,-9999,-9999,25,27,2071,278,NA,17.798127429,NA,0.0703778361252403
"Fraxinus angustifolia","Robinia pseudoacacia",0.123266667,0.007558635,4,0.147233333,0.013011737,4,-9999,-9999,25,27,2071,278,NA,17.798127429,NA,0.177668594681312
"Glechoma hederacea","Heracleum mantegazzianum",1.02,0.15513435,6,0.64,0.057154761,6,2,1,0.1,5.5,1488,NA,3.66666666666667,0.357222222222222,2.3286802037769,-0.466089729924599
"Metrosideros polymorpha","Myrica cerifera",0.7,0.3,10,1.4,0.5,10,-9999,-9999,20,12,NA,NA,12,NA,NA,0.693147180559945
"Metrosideros polymorpha","Myrica cerifera",16,19,10,3,2,10,-9999,-9999,20,12,NA,NA,12,NA,NA,-1.67397643357167
"Metrosideros polymorpha","Myrica cerifera",3.1,2.3,10,5.7,2.1,10,-9999,-9999,20,12,NA,NA,12,NA,NA,0.609064063349404
"Metrosideros polymorpha","Myrica faya",0.0158,0.0699,2,0,0.04155,5,NA,NA,20,8,NA,1975,8,NA,NA,-Inf
"Petasites hybridus","Fallopia japonica",116.8,266.7629097,5,170.1,115.6047144,5,10,6,0.575,2,NA,NA,2.7865,0.58125,1.56736065010803,0.375923429007689
"Petasites hybridus","Fallopia japonica",0.35,0.089442719,5,0.34,0.894427191,5,10,6,0.575,2,NA,NA,2.7865,0.58125,1.56736065010803,-0.028987536873252
"Petasites hybridus","Fallopia japonica",7.563102739,1.359878163,6,0.272709332,1.452446017,6,10,6,0.575,2,NA,NA,2.7865,0.58125,1.56736065010803,-3.3226302901665
"Petasites hybridus","Fallopia japonica",7.563102739,1.359878163,6,0.272709332,1.452446017,6,10,6,0.575,2,NA,NA,2.7865,0.58125,1.56736065010803,-3.3226302901665
"Poa cita","Pilosella officinarum",1.6966,0.1701,5,1.8369,0.1701,5,3,1,0.5,0.1,NA,NA,0.229723076923077,0.5,-0.777733528283355,0.079453119778384
"Poa cita","Pilosella officinarum",3.2572,0.2776,5,2.9409,0.2776,5,3,1,0.5,0.1,NA,NA,0.229723076923077,0.5,-0.777733528283355,-0.102152273657186
"Quercus alba","Rhamnus cathartica",2.3738,0.1283,15,2.2433,0.2993,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-0.056544050603145
"Quercus alba","Rhamnus cathartica",0.0537,0.0507,15,0.0173,0.0668,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-1.13270650001109
"Quercus alba","Rhamnus cathartica",8.6505,1.1542,15,6.8956,0.2992,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-0.226733595702753
"Quercus alba","Rhamnus cathartica",0.6051,0.1028,15,0.4376,0.1015,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-0.324088482520504
"Quercus alba","Rhamnus cathartica",11.187,1.4107,15,9.1756,0.5557,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-0.198204602966958
"Quercus alba","Rhamnus cathartica",0.6051,0.1028,15,0.4376,0.1015,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-0.324088482520504
"Quercus alba","Rhamnus cathartica",0.2623,0.0492,3,0.4419,0.2324,3,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,0.521594725263866
"Quercus alba","Rhamnus cathartica",0.0537,0.0507,15,0.0173,0.0668,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-1.13270650001109
"Quercus alba","Rhamnus cathartica",0.2547,0.1002,15,0.0113,0.0187,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-3.11528365626712
"Quercus alba","Rhamnus cathartica",3.6774,0.6799,3,5.7095,2.7998,3,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,0.439925473421962
"Quercus alba","Rhamnus cathartica",12.8378,0.7401,3,13.9975,0.4933,3,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,0.0864847982232591
"Quercus alba","Rhamnus cathartica",0.2612,0.0374,15,0.0598,0.0561,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-1.47428073644569
"Quercus alba","Rhamnus cathartica",0.3498,0.1002,15,0.0113,0.0908,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-3.43255883686621
"Quercus alba","Rhamnus cathartica",0.2075,0.0507,15,0.0173,0.0486,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-2.48442483816702
"Quercus alba","Rhamnus cathartica",0.02375,0.23125,15,0.4626,0.0415,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,2.96928021931669
"Quercus alba","Rhamnus cathartica",0.2075,0.0507,15,0.0173,0.0486,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-2.48442483816702
"Quercus alba","Rhamnus cathartica",0.2612,0.0374,15,0.0598,0.0561,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-1.47428073644569
"Quercus alba","Rhamnus cathartica",0.2612,0.0374,15,0.0598,0.0561,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-1.47428073644569
"Quercus alba","Rhamnus cathartica",0.3498,0.1002,15,0.0113,0.0908,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-3.43255883686621
"Quercus alba","Rhamnus cathartica",0.2547,0.1002,15,0.0113,0.0187,15,-9999,-9999,45,8,NA,274,3.97857142857143,NA,NA,-3.11528365626712
"Rubus sp","Fallopia japonica",0.31,0.245967478,5,0.22,0.089442719,5,11,4,0.5,2,479,NA,2.7865,0.33375,2.12214939729513,-0.34294475112683
"Rubus sp","Fallopia japonica",0.2424,0.0116,6,0.2424,0.0066,6,5,1,0.5,2,479,NA,2.7865,0.33375,2.12214939729513,0
"Rubus sp","Fallopia japonica",0.4061,0.0703,6,0.2327,0.0639,6,5,1,0.5,2,479,NA,2.7865,0.33375,2.12214939729513,-0.556849364384006
"Rubus sp","Fallopia japonica",7.563102739,1.037767343,6,0.272709332,1.248820445,6,5,1,0.5,2,479,NA,2.7865,0.33375,2.12214939729513,-3.3226302901665
"Rubus sp","Fallopia japonica",7.563102739,1.359565076,6,0.272709332,1.518797942,6,5,1,0.5,2,479,NA,2.7865,0.33375,2.12214939729513,-3.3226302901665
"Rubus sp","Fallopia japonica",62.6,32.64659247,5,93,38.68397601,5,11,4,0.5,2,479,NA,2.7865,0.33375,2.12214939729513,0.395834215047204
"Schizachyrium scoparium","Sorghum halepense",1.37,0.1222,4,1.7569,2.0149,4,-9999,-9999,0.9144,1.0668,NA,NA,1.42388571428571,NA,NA,0.248740152548838
"Schizachyrium scoparium","Sorghum halepense",13.2747,0.6495,4,16.1976,16.7659,4,-9999,-9999,0.9144,1.0668,NA,NA,1.42388571428571,NA,NA,0.199003115112582
"Spartina patens","Phragmites australis",0.0142,0.0024,9,0.0546,0.0023,9,-9999,-9999,0.6096,1.238,NA,NA,1.72132888888889,0.6096,1.03804887694486,1.34679191814364
"Taxodium distichum","Melaleuca quinquenervia",1.55,0.067168232,7,0.635,0.021782857,7,1,1,40,8,1579,NA,16.5,NA,NA,-0.892385211020601
"Taxodium distichum","Melaleuca quinquenervia",36.8,2.628779728,7,12.5,0.479190389,7,1,1,40,8,1579,NA,16.5,NA,NA,-1.07976920086663
"Typha latifolia","Lythrum salicaria",0.4808,0.058716049,5,0.23805,0.083219075,5,1,1,1.5,0.8,NA,NA,0.738739130434783,1.7048,-0.836258225627799,-0.70297064758047
"Typha latifolia","Lythrum salicaria",391.3493333,17.97176667,5,514.3036,44.92936667,5,1,1,1.5,0.8,NA,NA,0.738739130434783,1.7048,-0.836258225627799,0.273213155902673
"Typha latifolia","Lythrum salicaria",315.8515667,101.7792373,5,441.3736333,38.76542886,5,1,1,1.5,0.8,NA,NA,0.738739130434783,1.7048,-0.836258225627799,0.334619380185474
"Typha latifolia","Lythrum salicaria",71.28053333,8.584433333,5,41.575,8.5837,5,1,1,1.5,0.8,NA,NA,0.738739130434783,1.7048,-0.836258225627799,-0.539124240238512
"Typha latifolia","Lythrum salicaria",639.6827667,56.85870022,5,919.1299667,123.5353463,5,1,1,1.5,0.8,NA,NA,0.738739130434783,1.7048,-0.836258225627799,0.362455157794159
"Urtica dioica","Fallopia japonica",0.1487,0.0755,6,0.2212,0.0246,6,4,4,1.5,2,NA,NA,2.7865,1.01981378205769,1.00516628400869,0.397136416182071
"Urtica dioica","Heracleum mantegazzianum",187.1,209.5195695,5,322.5,125.6670203,5,12,4,1.5,5.5,NA,NA,3.66666666666667,1.01981378205769,1.2796629401115,0.544459902955783
"Urtica dioica","Heracleum mantegazzianum",0.52,0.313049517,5,0.45,0.424852916,5,12,4,1.5,5.5,NA,NA,3.66666666666667,1.01981378205769,1.2796629401115,-0.144581228811108
"Urtica dioica","Heracleum mantegazzianum",0.24,0.111803399,5,0.25,0.089442719,5,7,14,1.5,5.5,NA,NA,3.66666666666667,1.01981378205769,1.2796629401115,0.0408219945202553
"Urtica dioica","Fallopia japonica",7.563102739,1.458478395,6,0.272709332,1.315527709,6,9,1,1.5,2,NA,NA,2.7865,1.01981378205769,1.00516628400869,-3.3226302901665
"Urtica dioica","Fallopia japonica",0.2647,0.0392,6,0.2827,0.0196,6,9,1,1.5,2,NA,NA,2.7865,1.01981378205769,1.00516628400869,0.0657891554664891
"Urtica dioica","Fallopia japonica",7.563102739,1.217306665,6,0.272709332,1.341837732,6,4,4,1.5,2,NA,NA,2.7865,1.01981378205769,1.00516628400869,-3.3226302901665
"Urtica dioica","Heracleum mantegazzianum",105.9,94.36206865,5,109.9,31.30495168,5,7,14,1.5,5.5,NA,NA,3.66666666666667,1.01981378205769,1.2796629401115,0.0370756088022155
